motor_kw,motor_hp,for_drive_refs,filter_current_in_a,filter_current_out_a,quantity_per_drive,filter_reference,supply,thdi_note,source_pdf,source_page
11.0,15.0,ATV630D11N4|ATV650D11N4|ATV650D11N4E,22.0,23.0,1,VW3A46123,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
15.0,20.0,ATV630D15N4|ATV650D15N4|ATV650D15N4E,29.0,30.0,1,VW3A46124,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
18.5,25.0,ATV630D18N4|ATV650D18N4|ATV650D18N4E,35.0,37.0,1,VW3A46125,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
22.0,30.0,ATV630D22N4|ATV650D22N4|ATV650D22N4E,43.0,45.0,1,VW3A46126,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
30.0,40.0,ATV630D30N4|ATV650D30N4|ATV650D30N4E,58.0,60.0,1,VW3A46127,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
37.0,50.0,ATV630D37N4|ATV650D37N4|ATV650D37N4E,72.0,75.0,1,VW3A46128,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
45.0,60.0,ATV630D45N4|ATV650D45N4|ATV650D45N4E,86.0,90.0,1,VW3A46129,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
55.0,75.0,ATV630D55N4|ATV650D55N4|ATV650D55N4E,101.0,105.0,1,VW3A46130,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
75.0,100.0,ATV630D75N4|ATV650D75N4|ATV650D75N4E,144.0,150.0,1,VW3A46131,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
90.0,125.0,ATV630D90N4|ATV650D90N4|ATV650D90N4E,180.0,187.0,1,VW3A46132,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
110.0,150.0,ATV630C11N4,217.0,225.0,1,VW3A46133,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
132.0,200.0,ATV630C13N4,252.0,262.0,1,VW3A46134,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
160.0,250.0,ATV630C16N4,304.0,316.0,1,VW3A46135,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
220.0,350.0,ATV630C22N4,380.0,395.0,1,VW3A46137,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
250.0,400.0,ATV630C25N4,433.0,450.0,1,VW3A46138,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
315.0,500.0,ATV630C31N4,304.0,316.0,2,VW3A46135,400 V 50 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,53
0.75,1.0,ATV630U07N4|ATV650U07N4|ATV650U07N4E,6.0,6.2,1,VW3A46139,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
1.5,2.0,ATV630U15N4|ATV650U15N4|ATV650U15N4E,10.0,10.4,1,VW3A46140,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
2.2,3.0,ATV630U22N4|ATV650U22N4|ATV650U22N4E,10.0,10.4,1,VW3A46140,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
3.0,,ATV630U30N4|ATV650U30N4|ATV650U30N4E,10.0,10.4,1,VW3A46140,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
4.0,5.0,ATV630U40N4|ATV650U40N4|ATV650U40N4E,10.0,10.4,1,VW3A46140,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
5.5,7.5,ATV630U55N4|ATV650U55N4|ATV650U55N4E,14.0,14.5,1,VW3A46141,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
7.5,10.0,ATV630U75N4|ATV650U75N4|ATV650U75N4E,14.0,14.5,1,VW3A46141,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
11.0,15.0,ATV630D11N4|ATV650D11N4|ATV650D11N4E,19.0,19.5,1,VW3A46142,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
15.0,20.0,ATV630D15N4|ATV650D15N4|ATV650D15N4E,25.0,26.0,1,VW3A46143,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
18.5,25.0,ATV630D18N4|ATV650D18N4|ATV650D18N4E,31.0,32.0,1,VW3A46144,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
22.0,30.0,ATV630D22N4|ATV650D22N4|ATV650D22N4E,36.0,37.0,1,VW3A46145,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
30.0,40.0,ATV630D30N4|ATV650D30N4|ATV650D30N4E,48.0,50.0,1,VW3A46146,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
37.0,50.0,ATV630D37N4|ATV650D37N4|ATV650D37N4E,60.0,62.0,1,VW3A46147,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
45.0,60.0,ATV630D45N4|ATV650D45N4|ATV650D45N4E,73.0,76.0,1,VW3A46148,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
55.0,75.0,ATV630D55N4|ATV650D55N4|ATV650D55N4E,95.0,99.0,1,VW3A46149,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
75.0,100.0,ATV630D75N4|ATV650D75N4|ATV650D75N4E,118.0,122.0,1,VW3A46150,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
90.0,125.0,ATV630D90N4|ATV650D90N4|ATV650D90N4E,154.0,160.0,1,VW3A46151,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
110.0,150.0,ATV630C11N4,183.0,190.0,1,VW3A46152,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
132.0,200.0,ATV630C13N4,231.0,240.0,1,VW3A46153,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
160.0,250.0,ATV630C16N4,291.0,302.5,1,VW3A46154,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
220.0,350.0,ATV630C22N4,355.0,369.0,1,VW3A46155,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
250.0,400.0,ATV630C25N4,436.0,450.0,1,VW3A46157,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
315.0,500.0,ATV630C31N4,231.0,240.0,2,VW3A46153,460 V 60 Hz,,Catalog Altivar Process ATV600 variable speed drives.pdf,54
0.75,1.0,ATV630U07N4|ATV650U07N4|ATV650U07N4E,6.0,6.2,1,VW3A46158,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
1.5,2.0,ATV630U15N4|ATV650U15N4|ATV650U15N4E,10.0,10.4,1,VW3A46159,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
2.2,3.0,ATV630U22N4|ATV650U22N4|ATV650U22N4E,10.0,10.4,1,VW3A46159,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
3.0,,ATV630U30N4|ATV650U30N4|ATV650U30N4E,10.0,10.4,1,VW3A46159,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
