family,supply_v,mounting,duty,kw,hp,reference,line_current_a,line_current_b,max_continuous_a,max_transient_60s_a,has_dc_choke,emc_note,ip_note,variant_rank,is_default_variant,source_pdf,source_page
ATV630,200-240 V,wall,HD,45,60,ATV630D55M3,156,134,176,264,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,ND,75,100,ATV630D75M3,256,215,282,310.2,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,200-240 V,wall,HD,55,75,ATV630D75M3,189,161,211,316.5,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,24
ATV630,380-480 V,wall,ND,0.75,1,ATV630U07N4,1.5,1.3,2.2,2.4,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,0.37,0.5,ATV630U07N4,0.9,0.8,1.5,2.3,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,1.5,2,ATV630U15N4,3,2.6,4,4.4,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,0.75,1,ATV630U15N4,1.7,1.5,2.2,3.3,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,2.2,3,ATV630U22N4,4.3,3.8,5.6,6.2,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,1.5,2,ATV630U22N4,3.1,2.9,4,6,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,3,,ATV630U30N4,5.8,5.1,7.2,7.9,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,2.2,3,ATV630U30N4,4.5,4,5.6,8.4,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,4,5,ATV630U40N4,7.6,6.7,9.3,10.2,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,3,,ATV630U40N4,6,5.4,7.2,10.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,5.5,7.5,ATV630U55N4,10.4,9.1,12.7,14,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,4,5,ATV630U55N4,8,7.2,9.3,14,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,7.5,10,ATV630U75N4,13.8,11.9,16.5,18.2,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,5.5,7.5,ATV630U75N4,10.5,9.2,12.7,19.1,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,11,15,ATV630D11N4,19.8,17,23.5,25.9,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,7.5,10,ATV630D11N4,14.1,12.5,16.5,24.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,15,20,ATV630D15N4,27,23.3,31.7,34.9,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,11,15,ATV630D15N4,20.6,18.1,23.5,35.3,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,18.5,25,ATV630D18N4,33.4,28.9,39.2,43.1,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,15,20,ATV630D18N4,27.7,24.4,31.7,47.6,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,22,30,ATV630D22N4,39.6,34.4,46.3,50.9,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,18.5,25,ATV630D22N4,34.1,29.9,39.2,58.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,30,40,ATV630D30N4,53.3,45.9,61.5,67.7,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,22,30,ATV630D30N4,40.5,35.8,46.3,69.5,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,37,50,ATV630D37N4,66.2,57.3,74.5,82,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,30,40,ATV630D37N4,54.8,48.3,61.5,92.3,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,45,60,ATV630D45N4,79.8,69.1,88,96.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,HD,37,50,ATV630D45N4,67.1,59,74.5,111.8,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,25
ATV630,380-480 V,wall,ND,55,75,ATV630D55N4,97.2,84.2,106,116.6,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,45,60,ATV630D55N4,81.4,71.8,88,132,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,75,100,ATV630D75N4,131.3,112.7,145,159.5,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,55,75,ATV630D75N4,98.9,86.9,106,159,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,90,125,ATV630D90N4,156.2,135.8,173,190.3,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,75,100,ATV630D90N4,134.3,118.1,145,217.5,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,110,150,ATV630C11N4,201,165,211,232.1,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,90,125,ATV630C11N4,170,143,173,259.5,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,132,200,ATV630C13N4,237,213,250,275,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,110,150,ATV630C13N4,201,165,211,317,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,160,250,ATV630C16N4,284,262,302,332.2,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,132,200,ATV630C16N4,237,213,250,375,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,220,350,ATV630C22N4,397,324,427,470,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,160,250,ATV630C22N4,296,246,302,453,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,250,400,ATV630C25N4,451,366,481,529,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,220,300,ATV630C25N4,365,301,387,581,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,ND,315,500,ATV630C31N4,569,461,616,678,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV630,380-480 V,wall,HD,250,400,ATV630C31N4,457,375,481,722,TRUE,,IP21,0,TRUE,Catalog Altivar Process ATV600 variable speed drives.pdf,26
ATV650,380-480 V,wall,ND,0.75,1,ATV650U07N4,1.5,1.3,2.2,2.4,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,0.37,0.5,ATV650U07N4,0.9,0.8,1.5,2.3,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,1.5,2,ATV650U15N4,3,2.6,4,4.4,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,0.75,1,ATV650U15N4,1.7,1.5,2.2,3.3,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,2.2,3,ATV650U22N4,4.3,3.8,5.6,6.2,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,1.5,2,ATV650U22N4,3.1,2.9,4,6,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,3,,ATV650U30N4,5.8,5.1,7.2,7.9,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,2.2,3,ATV650U30N4,4.5,4,5.6,8.4,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,4,5,ATV650U40N4,7.6,6.7,9.3,10.2,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,3,,ATV650U40N4,6,5.4,7.2,10.8,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,5.5,7.5,ATV650U55N4,10.4,9.1,12.7,14,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,4,5,ATV650U55N4,8,7.2,9.3,14,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,7.5,10,ATV650U75N4,13.8,11.9,16.5,18.2,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,5.5,7.5,ATV650U75N4,10.5,9.2,12.7,19.1,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,11,15,ATV650D11N4,19.8,17,23.5,25.9,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,7.5,10,ATV650D11N4,14.1,12.5,16.5,24.8,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,15,20,ATV650D15N4,27,23.3,31.7,34.9,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,11,15,ATV650D15N4,20.6,18.1,23.5,35.3,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,18.5,25,ATV650D18N4,33.4,28.9,39.2,43.1,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,15,20,ATV650D18N4,27.7,24.4,31.7,47.6,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,22,30,ATV650D22N4,39.6,34.4,46.3,50.9,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,18.5,25,ATV650D22N4,34.1,29.9,39.2,58.8,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,30,40,ATV650D30N4,53.3,45.9,61.5,67.7,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,22,30,ATV650D30N4,40.5,35.8,46.3,69.5,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,37,50,ATV650D37N4,66.2,57.3,74.5,82,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,30,40,ATV650D37N4,54.8,48.3,61.5,92.3,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
